image,participant,normalized_description,num_nouns,pos,filename
1592027,22,Een grote rode dubbeldekker,0,DET ADJ ADJ ADJ,Scan_Path_ppn22_1592027.mp3
498024,22,Een grote rode dubbeldekker,0,DET ADJ ADJ ADJ,Scan_Path_ppn22_498024.mp3
713274,35,,0,,Scan_Path_ppn35_713274.mp3
1159675,108,-,0,PUNCT,Scan_Path_ppn108_1159675.mp3
150374,47,,0,,Scan_Path_ppn47_150374.mp3
1591805,47,Ga moeten vliegen,0,VERB VERB VERB,Scan_Path_ppn47_1591805.mp3
1159749,43,Gezellig uit eten,0,ADJ ADP VERB,Scan_Path_ppn43_1159749.mp3
498111,8,Een oven,0,DET VERB,Scan_Path_ppn8_498111.mp3
712977,24,,0,,Scan_Path_ppn24_712977.mp3
498280,101,Klein vliegveld,0,ADJ VERB,Scan_Path_ppn101_498280.mp3
713640,3,- ,0,PUNCT,Scan_Path_ppn3_713640.mp3
1592286,42,Een tafel waarop veel ,1,DET NOUN ADV NUM,Scan_Path_ppn42_1592286.mp3
1159606,37,Meerdere laptops zijn hier gebruikt om te werken,1,NUM NOUN VERB ADV VERB CONJ ADP VERB,Scan_Path_ppn37_1159606.mp3
1160062,37,Vier mannen discussiëren over iets,1,NUM NOUN ADV ADP PRON,Scan_Path_ppn37_1160062.mp3
1591838,37,Iemand is een computerspel aan het spelen,1,PRON VERB DET NOUN ADP X VERB,Scan_Path_ppn37_1591838.mp3
1591876,37,Een sandwich staat op het punt om te gegeten worden,1,DET NOUN VERB ADP X X CONJ ADP VERB VERB,Scan_Path_ppn37_1591876.mp3
1592351,37,Een gezellige woonkamer waar niemand in is,1,DET ADJ NOUN ADV PRON ADV VERB,Scan_Path_ppn37_1592351.mp3
1159991,22,Het is donker en het is in een straat,1,PRON VERB ADJ CONJ PRON VERB ADP DET NOUN,Scan_Path_ppn22_1159991.mp3
498058,22,Een treinstation,1,DET NOUN,Scan_Path_ppn22_498058.mp3
1592372,43,Een motor helemaal bepakt,1,DET NOUN ADV VERB,Scan_Path_ppn43_1592372.mp3
1592807,43,"Een Britse dubbeldekker bus, oranje",1,DET ADJ NOUN NOUN PUNCT ADJ,Scan_Path_ppn43_1592807.mp3
1592934,43,"Een soort windsurf ding, blauw met rood",1,DET NOUN NOUN NOUN PUNCT ADJ ADP ADJ,Scan_Path_ppn43_1592934.mp3
285851,43,Twee rode tram,1,NUM ADJ NOUN,Scan_Path_ppn43_285851.mp3
285948,43,Met zijn allen pizza eten,1,ADP PRON PRON NOUN VERB,Scan_Path_ppn43_285948.mp3
286066,43,Een blauwe en een rode jas en ze zijn samen aan het skiën ,1,DET ADJ CONJ DET ADJ NOUN CONJ PRON VERB ADV ADP X VERB,Scan_Path_ppn43_286066.mp3
498025,43,Een verjaardagstaart aan het snijden,1,DET NOUN ADP X VERB,Scan_Path_ppn43_498025.mp3
498258,43,Een Mercedes vrachtwagen,1,DET ADJ NOUN,Scan_Path_ppn43_498258.mp3
498280,43,Airport van Sofia,1,NOUN PROPN NOUN,Scan_Path_ppn43_498280.mp3
498326,43,Een witte bus,1,DET ADJ NOUN,Scan_Path_ppn43_498326.mp3
498339,43,Met zijn allen uiteten,1,ADP PRON PRON NOUN,Scan_Path_ppn43_498339.mp3
713707,43,Gras met mensen die erop lopen,1,ADV ADP NOUN PRON ADV VERB,Scan_Path_ppn43_713707.mp3
713769,43,Een Brits ontbijt,1,DET ADJ NOUN,Scan_Path_ppn43_713769.mp3
713786,43,Skiën ,1,NOUN,Scan_Path_ppn43_713786.mp3
713788,43,Spitsuur,1,NOUN,Scan_Path_ppn43_713788.mp3
498258,25,Een witte truck,1,DET ADJ NOUN,Scan_Path_ppn25_498258.mp3
498326,25,Een bus die aan het rijden is,1,DET NOUN PRON ADP X VERB VERB,Scan_Path_ppn25_498326.mp3
713652,25,Groep mensen die gaan skateboarden,1,NOUN NOUN PRON VERB VERB,Scan_Path_ppn25_713652.mp3
713765,25,Een kruispunt op een ,1,DET NOUN ADP DET,Scan_Path_ppn25_713765.mp3
713769,25,Iemand ontbijt,1,PRON NOUN,Scan_Path_ppn25_713769.mp3
713786,25,Mensen die aan het skiën zijn,1,NOUN PRON ADP X X VERB,Scan_Path_ppn25_713786.mp3
713788,25,File,1,NOUN,Scan_Path_ppn25_713788.mp3
713888,25,Iemands achtertuin,1,NOUN NOUN,Scan_Path_ppn25_713888.mp3
1591909,5,vliegende duiven,1,VERB NOUN,Scan_Path_ppn5_1591909.mp3
1591932,5,Een stoplichten dat op rood staat in het donker,1,DET NOUN PRON ADP ADJ VERB ADP DET NOUN,Scan_Path_ppn5_1591932.mp3
1592047,5,Een groen vliegtuig,1,DET ADJ NOUN,Scan_Path_ppn5_1592047.mp3
1592137,5,Heel veel verschillende kleuren parasol,1,ADV NUM VERB NOUN VERB,Scan_Path_ppn5_1592137.mp3
1592934,5,Een omgewaaide vlieger,1,DET ADJ NOUN,Scan_Path_ppn5_1592934.mp3
285851,5,Twee rode trams,1,NUM ADJ NOUN,Scan_Path_ppn5_285851.mp3
498258,5,Een witte vrachtwagen,1,DET ADJ NOUN,Scan_Path_ppn5_498258.mp3
713765,5,Een spoorwegovergang die op rood staat,1,DET NOUN PRON ADP ADJ VERB,Scan_Path_ppn5_713765.mp3
713786,5,Een skipiste vanaf bovenaf,1,DET ADJ ADP NOUN,Scan_Path_ppn5_713786.mp3
713788,5,Een drukke eenrichtingsverkeer straat,1,DET ADJ NOUN NOUN,Scan_Path_ppn5_713788.mp3
1159447,8,Een televisieprogramma,1,DET NOUN,Scan_Path_ppn8_1159447.mp3
1592038,47,Computer,1,NOUN,Scan_Path_ppn47_1592038.mp3
1592083,47,Pizza's,1,NOUN,Scan_Path_ppn47_1592083.mp3
1592656,47,Een bus die komt aanrijden,1,DET NOUN PRON VERB VERB,Scan_Path_ppn47_1592656.mp3
498388,47,Een iPod reclamebord,1,DET ADJ NOUN,Scan_Path_ppn47_498388.mp3
